#Index|Category|Title|Tutorial text
93|Diplomacy|Fleet trading|In diplomacy trading it is possible to trade fleets between other realms. Sometimes it makes sense to sell obsolete fleets for another realms. Having lot's of fleet costs also credit so why not sell old ones and get few credits for those. Usually realms are not willing to sell fleet unless they really are not needed anymore. Sometimes it is possible to get fleets when making peacy treaty after long war.
94|Diplomacy|Planet trading|In diplomacy trading it is possible to planets to other realms. Trading planets are only done in very grave situation. Other realm must be much stronger than the other and promise to have peace after trade.
95|Diplomacy|Espionage trade|If both realms have espionage they can trade this information between each others. This will give boost for espionage against third realm. Espionage trades last 20 turns.
96|Diplomacy|Diplomacy victory|There is possiblity to win Open Realm of Stars by diplomacy. It requires becoming candidate of ruler of the galaxy. First realm who builds required amount of United Galaxy Tower will become first candidate for ruler of the galaxy. Second candidate is voted. It can be based on military power or whom has most of the United Galaxy Towers. After this is final voting for Galaxy Ruler from these two candidates. There is also possibility to have more diplomatic votes, depending on galaxy settings. These votings can be made as promises on diplomatic trades.
97|Diplomacy|Voting promises|Realms can promise or ask another realm to vote certainly. These promises can cost quite a lot. If these promises are kept it will give diplomatic bonuses between these realms and on the other hand if they are broken this will give negative diplomatic bonuses.
98|Diplomacy|Galactic Olympics|Galactic olympics can be arrange to boost realms diplomatic bonuses. Each realm can decided if they want to participate on these games. If they participate there will diplomatic bonuses between participants and organizer. If realm decides to boycott games, there will be negative bonus between realm who boycotted and organizer. On the other hand all realms who boycotted the games will get diplomatic bonuses between each others.
100|Diplomacy|Peace treaty|Peace treaty is start of friendship. It forbids space combat and planetary invasions between two realms. Fleets are not allowed enter other realms sector. Long lasting peace gives diplomatic bonus between two realms.
101|Diplomacy|Trade alliance|Trade alliance between two realms allows non combat fleets to enter other realm sectors. Therefore trade alliance allows trade fleets to go other realm planets to make trade. Trading benefits both parties for gaining extra credit.
102|Diplomacy|Defensive pact|Defensive pact is deeper alliance than trade alliance. It allows military ships go realms sector. Also if third realm make war against either realm in defensive pact that war will start against all parties in defensive pact. Defensive pact does not make ware if one member of defensive pact makes war against third party.
103|Diplomacy|Alliance|Alliance is the deepest form of two realms working together. There can be only two realms in alliance. Alliance has same military benefits as in defensive pact. If one the alliance party makes war against third party another realm in alliance is not in war against the third party. Alliance scores and victory conditions are combined. For example culture points are added together. Same goes also for technological achievement or victory domination. In short to say when checking the victory conditions realms in alliance are treated as a single realm.
104|Diplomacy|Trade embargo|Trade embargo is agreement of two realms where to announce embargo against the third realm. Realms making the trade embargo gain diplomatic bonuses towards each others. Third realm gets negative diplomacy bonuses. Trade embargo lasts always 20 turns. When it ends diplomatic relation goes back to peace or stays in war if there is war. When trade embargo status is between two realms these two realms cannot send trade fleets towards each others. Regular diplomatic trades are allowed.
105|Diplomacy|War|War allows space combat and planetary invasions between two realms. Realm who starts the war gets negative diplomacy bonus towards all other realms. Long lasting wars are expensive for non-hivemind governments. Having wars will increase war exhaust on realms which makes people unhappy.
